,AUC,PR_AUC,NLL,KS,Lift_1pct,Capture_1pct,Lift_5pct,Capture_5pct,Lift_10pct,Capture_10pct,Lift_20pct,Capture_20pct
Label-only,0.6532280704063377,0.01209363383659673,0.03759253770112991,0.22070512175559998,3.6417906284332275,0.03641656041145325,2.677889347076416,0.1338939219713211,2.2593789100646973,0.22593790292739868,1.8864811658859253,0.37729623913764954
Non-label-only,0.5619879067849186,0.0075424464570640675,0.03835388645529747,0.11847048997879028,1.5007022619247437,0.015006468631327152,1.3531749248504639,0.06765847653150558,1.3091850280761719,0.1309185028076172,1.3276196718215942,0.2655239403247833
Centralized,0.6731924106562972,0.013817363618756545,0.03757303208112717,0.24835065007209778,4.094588756561279,0.04094437137246132,3.041409492492676,0.1520698517560959,2.5187580585479736,0.2518758177757263,2.0918500423431396,0.41836997866630554
VanillaVFL,0.6742451463919356,0.013537802245378424,0.03725838661193848,0.25290340185165405,4.113994121551514,0.0411384217441082,2.9055745601654053,0.14527814090251923,2.4767141342163086,0.24767141044139862,2.0889391899108887,0.4177878499031067
