model,AUC,PR_AUC,NLL,KS,Lift_1pct,Capture_1pct,Lift_5pct,Capture_5pct,Lift_10pct,Capture_10pct,Lift_20pct,Capture_20pct
Label-only,0.6595855669605828,0.012524352275571781,0.03798910230398178,0.23264676332473755,3.945812225341797,0.03945666179060936,2.838304042816162,0.14191462099552155,2.3389391899108887,0.23389391601085663,1.8890684843063354,0.3778137266635895
Non-label-only,0.5575016653471613,0.007508362233624072,0.03898989409208298,0.10929238796234131,1.5007022619247437,0.015006468631327152,1.3531749248504639,0.06765847653150558,1.3091850280761719,0.1309185028076172,1.3276196718215942,0.2655239403247833
Centralized,0.6777047564399101,0.014202580493749766,0.03776977211236954,0.2565793991088867,4.476233005523682,0.044760674238204956,3.0853943824768066,0.15426908433437347,2.5530402660369873,0.2553040087223053,2.108344078063965,0.4216688275337219
VanillaVFL,0.6798355984600626,0.014256624507771268,0.0377567820250988,0.2615196704864502,4.4244842529296875,0.044243209064006805,3.075044870376587,0.15375161170959473,2.5750322341918945,0.2575032413005829,2.1161060333251953,0.423221230506897
